14.10.22 21:15
Статистика проєкту

                      	Сегментів	  Слів	Символів без пробілів	Символів із пробілами	Кількість файлів	
Загалом:              	    71937	520590	              2784969	              3235680	             891	
Залишилося:           	    71914	520347	              2783506	              3233996	             889	
Унікальних:           	    63928	491225	              2627282	              3056532	             878	
Залишилося унікальних:	    63905	490982	              2625819	              3054848	             876	


Статистика за окремими файлами:

Назва файлу                                                                                	Загалом сегментів	Залишилося сегментів	Унікальних сегментів	Залишилося унікальних сегментів	Загалом слів	Залишилося слів	Слів в унікальних сегментах	Залишилося слів в унікальних сегментах	Загалом символів без пробілів	Залишилося символів без пробілів	Символів без пробілів в унікальних сегментах	Залишилося символів без пробілів в унікальних сегментах	Загалом символів із пробілами	Залишилося символів із пробілами	Символів із пробілами в унікальних сегментах	Залишилося символів із пробілами в унікальних сегментах	
intro.sbv                                                                                  	               19	                   0	                  19	                              0	         226	              0	                        226	                                     0	                         1383	                               0	                                        1383	                                                      0	                         1591	                               0	                                        1591	                                                      0	
outro.sbv                                                                                  	                4	                   0	                   4	                              0	          17	              0	                         17	                                     0	                           80	                               0	                                          80	                                                      0	                           93	                               0	                                          93	                                                      0	
Scripts/Content/Items/Mod/CookingRecipes.d.json                                            	               59	                  59	                  59	                             59	         233	            233	                        233	                                   233	                         1428	                            1428	                                        1428	                                                   1428	                         1602	                            1602	                                        1602	                                                   1602	
Scripts/Content/Items/Mod/Mission.d.json                                                   	                3	                   3	                   3	                              3	          13	             13	                         13	                                    13	                           71	                              71	                                          71	                                                     71	                           81	                              81	                                          81	                                                     81	
Scripts/Content/Items/Mod/Written.d.json                                                   	                2	                   2	                   2	                              2	           4	              4	                          4	                                     4	                           25	                              25	                                          25	                                                     25	                           27	                              27	                                          27	                                                     27	
Scripts/Content/Items/Mod/Written_Learning.d.json                                          	                1	                   1	                   1	                              1	          10	             10	                         10	                                    10	                           61	                              61	                                          61	                                                     61	                           70	                              70	                                          70	                                                     70	
Scripts/Content/ModIntern/ErrorMessages.d.json                                             	               21	                  21	                  16	                             16	         190	            190	                        169	                                   169	                         1335	                            1335	                                        1184	                                                   1184	                         1486	                            1486	                                        1319	                                                   1319	
Scripts/Content/Story/B_AssignAmbientInfos/B_Announce_Propagandist.d.json                  	               47	                  47	                  47	                             47	         279	            279	                        279	                                   279	                         1505	                            1505	                                        1505	                                                   1505	                         1741	                            1741	                                        1741	                                                   1741	
Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Bau_FastTravel.d.json      	               11	                  11	                  11	                             11	          19	             19	                         19	                                    19	                          169	                             169	                                         169	                                                    169	                          177	                             177	                                         177	                                                    177	
Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Bau_GasparVine.d.json      	                1	                   1	                   1	                              1	           7	              7	                          7	                                     7	                           34	                              34	                                          34	                                                     34	                           40	                              40	                                          40	                                                     40	
Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Bau_ValerioVine.d.json     	                7	                   7	                   7	                              7	          40	             40	                         40	                                    40	                          231	                             231	                                         231	                                                    231	                          264	                             264	                                         264	                                                    264	
Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_DJG.d.json                 	                1	                   1	                   1	                              1	           9	              9	                          9	                                     9	                           36	                              36	                                          36	                                                     36	                           44	                              44	                                          44	                                                     44	
Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_GetorykSpy.d.json          	               15	                  15	                   5	                              5	         111	            111	                         37	                                    37	                          531	                             531	                                         177	                                                    177	                          627	                             627	                                         209	                                                    209	
Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_MIL_City.d.json            	               24	                  24	                  23	                             23	          84	             84	                         83	                                    83	                          445	                             445	                                         436	                                                    436	                          505	                             505	                                         496	                                                    496	
Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Mil_OldCityGuard.d.json    	               24	                  24	                  24	                             24	         131	            131	                        131	                                   131	                          660	                             660	                                         660	                                                    660	                          767	                             767	                                         767	                                                    767	
Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Musician.d.json            	                1	                   1	                   1	                              1	           8	              8	                          8	                                     8	                           48	                              48	                                          48	                                                     48	                           55	                              55	                                          55	                                                     55	
Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Q206_FinbarBodyGuard.d.json	               17	                  17	                  17	                             17	         111	            111	                        111	                                   111	                          551	                             551	                                         551	                                                    551	                          646	                             646	                                         646	                                                    646	
Scripts/Content/Story/B_AssignAmbientInfos/B_AssignAmbientInfos_Q308_Mages.d.json          	                4	                   4	                   2	                              2	          38	             38	                         19	                                    19	                          238	                             238	                                         119	                                                    119	                          272	                             272	                                         136	                                                    136	
